Episode,Reward,Hard_Conflicts
1,2840,0
2,-1160,1
3,1840,1
4,-5160,0
5,-4160,1
6,4840,0
7,3840,0
8,-160,1
9,840,0
10,840,0
11,-4160,0
12,840,0
13,-160,0
14,4840,0
15,1840,0
16,-2160,0
17,4840,0
18,840,1
19,-1160,0
20,3840,0
21,4840,0
22,-2160,0
23,4840,0
24,1840,0
25,840,0
26,-1160,0
27,2840,1
28,840,0
29,1840,0
30,-160,1
31,-160,0
32,-160,1
33,2840,0
34,-1160,0
35,-4160,0
36,840,0
37,1840,0
38,1840,0
39,-1160,0
40,1840,1
41,-160,0
42,2840,0
43,840,1
44,-2160,0
45,-2160,0
46,840,1
47,1840,0
48,840,1
49,-160,0
50,1840,0
